project_id,road_id,contract_id,contractor_id,officer_id,maintenance_type,status
PRJ-001,RD-001,CNT-001,CON-002,OFF-002,Pothole Repair,Active
PRJ-002,RD-002,CNT-002,CON-003,OFF-003,Pothole Repair,Active
PRJ-003,RD-003,CNT-003,CON-004,OFF-004,Pothole Repair,Active
PRJ-004,RD-004,CNT-004,CON-005,OFF-005,Pothole Repair,Active
PRJ-005,RD-005,CNT-005,CON-006,OFF-006,Pothole Repair,Active
PRJ-006,RD-006,CNT-006,CON-007,OFF-007,Pothole Repair,Active
PRJ-007,RD-007,CNT-007,CON-008,OFF-008,Pothole Repair,Active
PRJ-008,RD-008,CNT-008,CON-009,OFF-009,Pothole Repair,Active
PRJ-009,RD-009,CNT-009,CON-001,OFF-001,Pothole Repair,Active
PRJ-010,RD-010,CNT-010,CON-002,OFF-002,Pothole Repair,Active
PRJ-011,RD-011,CNT-011,CON-003,OFF-003,Pothole Repair,Active
PRJ-012,RD-012,CNT-012,CON-004,OFF-004,Pothole Repair,Active
