road_id,road_name,district,area,latitude,longitude
RD-001,Synthetic Road 1,North District,Sector A,34.01,-117.99
RD-002,Synthetic Road 2,North District,Sector A,34.02,-117.98
RD-003,Synthetic Road 3,North District,Sector A,34.03,-117.97
RD-004,Synthetic Road 4,North District,Sector A,34.04,-117.96
RD-005,Synthetic Road 5,North District,Sector A,34.05,-117.95
RD-006,Synthetic Road 6,North District,Sector A,34.06,-117.94
RD-007,Synthetic Road 7,North District,Sector A,34.07,-117.93
RD-008,Synthetic Road 8,North District,Sector A,34.08,-117.92
RD-009,Synthetic Road 9,North District,Sector A,34.09,-117.91
RD-010,Synthetic Road 10,North District,Sector A,34.1,-117.9
RD-011,Synthetic Road 11,North District,Sector A,34.11,-117.89
RD-012,Synthetic Road 12,North District,Sector A,34.12,-117.88
